S.NO,Common Name (in Tamil),Botanical Name,Application
1,Agathi,Sesbania grandiflora,fever; kills intestinal worms
2, Amukkira,Withania somnifera,fever
3,Avuri,Indigofera tinctoria,kills intestinal worms
4,Adu theenda palai,Aristolochia bractiata,kills intestinal worms
5,Annasi,Ananas comosus,stimulant for hunger; constipation; promotes digestion
6,Adatodai,Adhatoda vasica,diseases
7,Echchu,Phoenix sylvestris,diabetes; fever
8,Ell,Sesamum indicum,increases milk secretion
9,Garlic,Allium sativum,stimulant; expectorant
10,Inji,Zingiber officinale,promotes digestion
11,Kaliyana murungai,Erythrina indica,increases milk secretion
12,Karuvel,Acacia nilotica,diseases of respiratory tract
13,Karisalankanni,Eclipta alba,constipation
14,Kuppaimeni,Acalypha indica,cold and cough; kills intestinal worms
15,Karisalankanni,Eclipta prostrata,strengthens liver
16,Mavilingu,Crataeva religiosa,fever
17,Malai vembu,Melia azadirach,kills intestinal worms
18,Mathulai,Punica granatum,kills intestinal worms
19,Ma,Mangifera indica,kills intestinal worms
20,Milagu,Piper nigrum,cold and cough
21,Manjal,Curcuma longa,cold and cough
22,Nelli,Phyllanthus emblica,decreases body temperature
23,Naval,Eugenia jambusa,diabetes
24,Nuna,Morinda tinctoria,fever
25,Nochchi,Vitex negundo,fever
26,Nanthiyavattam,Tabernaemontana divaricata,kills intestinal worms
27,Pagarkai,Memordica charntia,kills intestinal worms
28,Seetha,Annona squamosa,wounds/ulcers
29,Seiyakkai,Acacia concina,cold and cough; wounds/ulcers
30,Sundai,Solanum torvum,cold and cough
31,Sarakkonrai,Cassia fistula,fever
32,Musumusukkai,Mukia maderaspatana,vertigo; asthma; ulcer
33,Thumbai,Leucas aspera,cold and cough
34,Thoothuvalai,Solanum trilobatum,cold and cough
35,Thulasi,Ocimum sanctum,respiratory diseases
36,Sirukurinjian,Gymnema sylvestris,stimulant for hunger
37,Vilvam,Aegle marmelos,fever; digestion
38,Vishnukrandi,Evolvulus alsinoides,fever
39,Vembu,Azadirachta indica,intestinal worms; malaria; fever; skin diseases
40,Vellarikkai,Cucumis sativus,decreases body temperature
41,Vengayam,Allium cepa,cold and cough
42,Vengai,Pterocarpus marsupium,wounds/ulcers
43,Vendayam,Trigonella feenugracum,increases milk secretion
44,Alari,Nerium odoratum,constipation
45,Amman pachcharisi,Euphorbia hirta,decreases body temperature
46,Iluppai,Bassia longifolia,decreases body temperature
47,Karunchirakam,Nigella sativa,induces labour pain
48,Mulmoongil,Bambusa arundinacea,leprosy; skin diseases; laxative; cooling
49,Vaagai,Albizzia lebbeck,astringent; asthma; expectorant
50,Thekku,Tectona grandis,astringent; cooling; constipation; bronchitis
51,Kattuchirakam,Vernonia anthelmintica,anti-inflammatory; fever; expectorant
52,Karpuram,Cinnamomum camphora,anti-inflammatory; asthma; diarrhoea
53,Elumitchai,Citrus limon,digestion; cough; antiseptic; bronchitis
54,Korai,Cyperus rotundus,anti-inflammatory; skin disease
55,Sooriyakanthi,Helianthus annus,ulcer; bronchitis; skin diseases
56,Pushkaramoolam,Inula racemosa,asthma; bronchitis
57,Vellaikadambu,Neolamarckia cadamba,ulcer; diarrhoea; fever
58,Perichangai,Phoenix dactylifera,bronchitis; cough
59,Vettiver,Vetiveria zizanioides,water purifier
60,Marudhani,Lawsonia inermis,skin diseases; hair care
61,Sadhapilai,Ruta graveolens,Ruta graveolens
62,Elakkai Elettaria,Elettaria cardamomum,stimulant; expectorant
63,Pirandai,Cissus quadrangularis,chronic ulcers
64,Pudhina,Mentha arvensis,digestion; cough
65,Lemon grass,Cymbopogon caesius,insect bites
66,Karumilagu,Piper nigrum,cold and cough
67,Thippili,Piper longum,cold and cough; fever
68,Sukku,Zingiber officinale,headache; dry cough
69,Krishna thulasi,Ocimum americanum,bronchitis
70,Lavangam,Eugenia caryophyllata,toothache; expectorant
71,Jathikkai,Myristica fragrans,constipation
72,Vasambu,Acorus calamus,stimulant; decongestant
